EmissionCap,CaptureRate,AbatementCost,Feasible,ETS_Price,ETS_Income,Tax_Income,Total_Abate_Cost,Funding_Gap,CarbonTax_Iron_and_steel,CarbonTax_Ammonia,CarbonTax_Cement,CarbonTax_Refinery,Abate_Cost
0.0,0.4,70,True,28.00000000000001,3201041576.818489,0.0,7077241074.008185,-3876199497.189696,0.0,0.0,0.0,0.0,
0.0,0.4,80,True,32.0,3658333230.6497006,0.0,8088275513.152212,-4429942282.502512,0.0,0.0,0.0,0.0,
0.0,0.4,90,False,,8002603942.04622,13337673236.743702,,12240967226.493683,,,,,9099309952.296238
0.0,0.4,100,True,40.00000000000003,4572916538.312129,0.0,10110344391.440266,-5537427853.128137,0.0,0.0,0.0,0.0,
0.0,0.4,110,True,44.00000000000004,5030208192.143342,0.0,11121378830.584291,-6091170638.440949,0.0,0.0,0.0,0.0,
0.0,0.4,120,True,48.00000000000005,5487499845.974557,0.0,12132413269.728315,-6644913423.75376,0.0,0.0,0.0,0.0,
0.0,0.5,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.5,10,True,5.000000000000004,571614567.2890161,0.0,1011034439.1440264,-439419871.8550104,0.0,0.0,0.0,0.0,
0.0,0.5,20,True,10.000000000000009,1143229134.5780325,0.0,2022068878.288053,-878839743.7100208,0.0,0.0,0.0,0.0,
0.0,0.5,30,True,15.00000000000001,1714843701.8670485,0.0,3033103317.43208,-1318259615.5650308,0.0,0.0,0.0,0.0,
0.0,0.5,40,True,20.00000000000001,2286458269.1560645,0.0,4044137756.576106,-1757679487.4200416,0.0,0.0,0.0,0.0,
0.0,0.5,50,True,25.00000000000002,2858072836.445081,0.0,5055172195.720133,-2197099359.275052,0.0,0.0,0.0,0.0,
0.0,0.5,60,True,30.00000000000002,3429687403.734097,0.0,6066206634.864159,-2636519231.1300616,0.0,0.0,0.0,0.0,
0.0,0.5,70,True,35.0,4001301971.02311,0.0,7077241074.008185,-3075939102.9850755,0.0,0.0,0.0,0.0,
0.0,0.5,80,True,40.00000000000003,4572916538.312129,0.0,8088275513.152212,-3515358974.840083,0.0,0.0,0.0,0.0,
0.0,0.5,90,True,45.00000000000001,5144531105.601142,0.0,9099309952.296238,-3954778846.695096,0.0,0.0,0.0,0.0,
0.0,0.5,100,True,50.00000000000004,5716145672.890162,0.0,10110344391.440266,-4394198718.550103,0.0,0.0,0.0,0.0,
0.0,0.5,110,True,55.00000000000004,6287760240.179177,0.0,11121378830.584291,-4833618590.405114,0.0,0.0,0.0,0.0,
0.0,0.5,120,True,60.00000000000004,6859374807.468194,0.0,12132413269.728315,-5273038462.260123,0.0,0.0,0.0,0.0,
0.0,0.6,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.6,10,True,6.000000000000005,685937480.7468195,0.0,1011034439.1440264,-325096958.397207,0.0,0.0,0.0,0.0,
0.0,0.6,20,True,12.00000000000001,1371874961.493639,0.0,2022068878.288053,-650193916.794414,0.0,0.0,0.0,0.0,
0.0,0.6,30,True,18.000000000000014,2057812442.2404585,0.0,3033103317.43208,-975290875.1916212,0.0,0.0,0.0,0.0,
0.0,0.6,40,True,24.00000000000002,2743749922.987278,0.0,4044137756.576106,-1300387833.588828,0.0,0.0,0.0,0.0,
0.0,0.6,50,True,30.00000000000002,3429687403.734097,0.0,5055172195.720133,-1625484791.9860358,0.0,0.0,0.0,0.0,
0.0,0.6,60,False,,8002603942.04622,13337673236.743702,,15274070543.925762,,,,,6066206634.864159
0.0,0.6,70,True,42.0,4801562365.227732,0.0,7077241074.008185,-2275678708.7804537,0.0,0.0,0.0,0.0,
0.0,0.6,80,True,48.00000000000004,5487499845.974556,0.0,8088275513.152212,-2600775667.177656,0.0,0.0,0.0,0.0,
0.0,0.6,90,False,,8002603942.04622,13337673236.743702,,12240967226.493683,,,,,9099309952.296238
0.0,0.6,100,True,60.00000000000004,6859374807.468194,0.0,10110344391.440266,-3250969583.972072,0.0,0.0,0.0,0.0,
0.0,0.6,110,True,66.00000000000001,7545312288.215009,0.0,11121378830.584291,-3576066542.3692827,0.0,0.0,0.0,0.0,
0.0,0.6,120,True,1.0000000000000535,114322913.45780928,13528211425.84004,12132413269.728315,1510121069.5695324,71.0,71.0,71.0,71.0,
0.0,0.7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.7,10,True,7.0,800260394.204622,0.0,1011034439.1440264,-210774044.9394045,0.0,0.0,0.0,0.0,
0.0,0.7,20,True,14.0,1600520788.409244,0.0,2022068878.288053,-421548089.878809,0.0,0.0,0.0,0.0,
0.0,0.7,30,True,21.0,2400781182.613866,0.0,3033103317.43208,-632322134.8182135,0.0,0.0,0.0,0.0,
0.0,0.7,40,True,28.0,3201041576.818488,0.0,4044137756.576106,-843096179.757618,0.0,0.0,0.0,0.0,
0.0,0.7,50,True,35.0,4001301971.02311,0.0,5055172195.720133,-1053870224.6970228,0.0,0.0,0.0,0.0,
0.0,0.7,60,True,41.99999999999999,4801562365.227732,0.0,6066206634.864159,-1264644269.636427,0.0,0.0,0.0,0.0,
0.0,0.7,70,True,49.0,5601822759.432354,0.0,7077241074.008185,-1475418314.5758314,0.0,0.0,0.0,0.0,
0.0,0.7,80,True,56.0,6402083153.636976,0.0,8088275513.152212,-1686192359.515236,0.0,0.0,0.0,0.0,
0.0,0.7,90,True,63.0,7202343547.841599,0.0,9099309952.296238,-1896966404.4546397,0.0,0.0,0.0,0.0,
0.0,0.7,100,True,70.0,8002603942.04622,0.0,10110344391.440266,-2107740449.3940456,0.0,0.0,0.0,0.0,
0.0,0.7,110,True,5.9999999999999964,685937480.7468184,13528211425.84004,11121378830.584291,3092770076.002568,71.0,71.0,71.0,71.0,
0.0,0.7,120,True,12.999999999999975,1486197874.9514382,13528211425.84004,12132413269.728315,2881996031.063162,71.0,71.0,71.0,71.0,
0.0,0.8,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.8,10,True,8.0,914583307.6624252,0.0,1011034439.1440264,-96451131.48160136,0.0,0.0,0.0,0.0,
0.0,0.8,20,True,16.0,1829166615.3248503,0.0,2022068878.288053,-192902262.96320271,0.0,0.0,0.0,0.0,
0.0,0.8,30,True,24.000000000000025,2743749922.9872785,0.0,3033103317.43208,-289353394.44480085,0.0,0.0,0.0,0.0,
0.0,0.8,40,True,32.0,3658333230.6497006,0.0,4044137756.576106,-385804525.92640543,0.0,0.0,0.0,0.0,
0.0,0.8,50,True,40.00000000000003,4572916538.312129,0.0,5055172195.720133,-482255657.4080038,0.0,0.0,0.0,0.0,
0.0,0.8,60,True,48.00000000000005,5487499845.974557,0.0,6066206634.864159,-578706788.8896017,0.0,0.0,0.0,0.0,
0.0,0.8,70,True,56.00000000000002,6402083153.636978,0.0,7077241074.008185,-675157920.3712072,0.0,0.0,0.0,0.0,
0.0,0.8,80,True,64.0,7316666461.299401,0.0,8088275513.152212,-771609051.8528109,0.0,0.0,0.0,0.0,
0.0,0.8,90,True,1.0000000000000535,114322913.45780928,13528211425.84004,9099309952.296238,4543224387.001612,71.0,71.0,71.0,71.0,
0.0,0.8,100,True,9.000000000000052,1028906221.1202344,13528211425.84004,10110344391.440266,4446773255.520008,71.0,71.0,71.0,71.0,
0.0,0.8,110,True,17.00000000000006,1943489528.7826605,13528211425.84004,11121378830.584291,4350322124.038408,71.0,71.0,71.0,71.0,
