iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ASM,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATA,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATF,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ATG,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUS,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,38330896.2,,annual,,
AUS,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,41437941.09000001,,annual,,
AUS,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,40516591.12,,annual,,
AUS,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,40286905.62,,annual,,
AUS,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,37630634.93,,annual,,
AUS,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,40666235.72999999,,annual,,
AUS,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,38920357.7,,annual,,
AUS,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,38720705.43999999,,annual,,
AUS,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,36480391.74000001,,annual,,
AUS,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,33987891.10999999,,annual,,
AUS,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,8841946.299695864,,annual,,
AUT,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AUT,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AZE,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,61647.494027990266,,annual,,
AZE,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,70706.65592561563,,annual,,
AZE,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,81162.69539750066,,annual,,
AZE,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,90694.3305965668,,annual,,
AZE,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,90283.48425531396,,annual,,
AZE,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,85045.1933593401,,annual,,
AZE,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,92419.88496399998,,annual,,
AZE,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,94309.778143,,annual,,
AZE,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,95994.248152,,annual,,
AZE,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,98870.17256,,annual,,
AZE,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,24691.865242657383,,annual,,
BDI,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BDI,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEL,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BEN,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BES,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
BFA,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
